streams,acousticness,danceability,energy,liveness,speechiness,valence
2513196.00,0.01,0.79,0.69,0.22,0.13,0.68
452520959.00,0.23,0.76,0.79,0.35,0.15,0.74
16102736.00,0.76,0.38,0.45,0.26,0.04,0.29
151637831.00,0.14,0.88,0.56,0.15,0.20,0.75
1758557.00,0.22,0.54,0.90,0.12,0.07,0.77
50614200.00,0.27,0.71,0.76,0.37,0.29,0.72
8827012.00,0.55,0.72,0.46,0.10,0.06,0.54
27776329.00,0.28,0.76,0.56,0.08,0.06,0.26
115416782.00,0.02,0.60,0.89,0.30,0.10,0.88
384821954.00,0.53,0.76,0.52,0.07,0.06,0.93
85591252.00,0.54,0.52,0.48,0.19,0.03,0.28
41102869.00,0.35,0.57,0.52,0.08,0.25,0.32
1196525.00,0.74,0.73,0.73,0.71,0.21,0.74
55334886.00,0.24,0.27,0.31,0.09,0.06,0.10
2573017.00,0.00,0.86,0.48,0.08,0.43,0.15
1533271.00,0.65,0.68,0.69,0.12,0.13,0.32
3802695.00,0.26,0.92,0.47,0.13,0.16,0.80
747774.00,0.10,0.83,0.74,0.03,0.21,0.72
123286296.00,0.05,0.90,0.40,0.09,0.12,0.34
24372960.00,0.02,0.63,0.85,0.21,0.04,0.61
14043544.00,0.06,0.72,0.66,0.07,0.04,0.57
24685664.00,0.08,0.84,0.64,0.11,0.05,0.59
220843950.00,0.12,0.40,0.80,0.16,0.46,0.70
19179684.00,0.01,0.92,0.58,0.10,0.08,0.49
5574100.00,0.75,0.52,0.40,0.52,0.41,0.55
